file,heart_rate,sd,std_err,confidence,start,end,,,,,,,,
input_3_F2_Trial13_22C_20240130_102359.txt,76.35283482,0.259333617,0.009533293,Discard,0,582.075,,,,,,,,
input_3_F2_Trial13_22C_20240130_103359.txt,76.53758542,0.23333793,0.021950586,Discard,0,88.975,,,,,,,,
input_4_F2_Trial13_22C_20240130_070357.txt,64.86486486,0.165477529,0.028379162,Good,146,178,,,,,,,,
input_4_F2_Trial13_22C_20240130_071357.txt,75.62189055,0.277883179,0.04449692,Good,146,178,,,,,,,,
input_4_F2_Trial13_22C_20240130_072357.txt,58.32012678,0.180084488,0.018673892,Good,266,362,,,,,,,,
input_4_F2_Trial13_22C_20240130_073357.txt,59.01639344,0.073289677,0.007559253,Good,266,362,,,,,,,,
input_4_F2_Trial13_22C_20240130_074357.txt,64.96714849,0.048358501,0.004741941,Good,266,362,,,,,,,,
input_4_F2_Trial13_22C_20240130_075357.txt,70.8113804,0.054870563,0.005161788,Good,266,362,,,,,,,,
input_4_F2_Trial13_22C_20240130_080357.txt,74.38410596,0.081300923,0.007484357,Good,266,362,,,,,,,,
input_4_F2_Trial13_22C_20240130_081357.txt,81.38801262,0.092603209,0.008121839,Good,266,362,,,,,,,,
input_4_F2_Trial13_22C_20240130_082357.txt,67.50788644,0.139119267,0.013386758,Good,266,362,,,,,,,,
input_4_F2_Trial13_22C_20240130_083357.txt,75.25476875,0.102376993,0.009306999,Good,306,402,,,,,,,,
input_4_F2_Trial13_22C_20240130_084358.txt,82.32189974,0.148717435,0.012993503,Good,274,370,,,,,,,,
input_4_F2_Trial13_22C_20240130_085358.txt,86.67736758,0.175810136,0.015075595,Good,228,324,,,,,,,,
input_4_F2_Trial13_22C_20240130_090358.txt,70.32734952,0.330308346,0.031211205,Good,258,354,,,,,,,,
input_4_F2_Trial13_22C_20240130_091358.txt,37.78501629,0.524388278,0.095739763,Good,256,304,,,,,,,,
input_4_F2_Trial13_22C_20240130_092358.txt,42.12700052,0.357997656,0.060512648,Good,314,364,,,,,,,,
input_4_F2_Trial13_22C_20240130_093358.txt,15.28089888,1.045095338,0.246331333,Good,192,268,,,,,,,,
input_4_F2_Trial13_22C_20240130_094358.txt,8.908685969,2.314273344,0.697779668,Good,320,394,,,,,,,,
input_4_F2_Trial13_22C_20240130_095358.txt,6.876790831,6.945988051,2.625336713,Flatline,466,526,,,,,,,,
input_4_F2_Trial13_22C_20240130_100358.txt,50.24987076,0.43705362,0.01980479,Discard,0,582.075,,,,,,,,
input_4_F2_Trial13_22C_20240130_101358.txt,51.37614679,0.396013127,0.017745773,Discard,0,582.075,,,,,,,,
input_4_F2_Trial13_22C_20240130_102359.txt,51.8611171,0.392995603,0.017540252,Discard,0,582.075,,,,,,,,
input_4_F2_Trial13_22C_20240130_103359.txt,53.22439451,0.426285852,0.048579781,Discard,0,88.975,,,,,,,,
input_5_F2_Trial13_22C_20240130_070357.txt,49.32806324,0.309995347,0.059658632,Good,428,460,,,,,,,,
input_5_F2_Trial13_22C_20240130_071357.txt,48.12030075,0.367002584,0.073400517,Good,428,460,,,,,,,,
