file,heart_rate,sd,std_err,confidence,start,end,,,
input_1_F2_Trial14_27C_20240130_092028.txt,86.02150538,0.173444251,0.024287053,Good,384,420,,,
input_1_F2_Trial14_27C_20240130_093028.txt,69.26406926,0.109420091,0.017088547,Good,384,420,,,
input_1_F2_Trial14_27C_20240130_094028.txt,30.4520222,0.268982458,0.065237828,Good,350,384,,,
input_1_F2_Trial14_27C_20240130_095028.txt,7.713941342,3.827588702,1.275862901,Good,324,396,,,
input_1_F2_Trial14_27C_20240130_100028.txt,54.34516524,0.405881821,0.065842726,Flatline,436,478,,,
input_1_F2_Trial14_27C_20240130_101029.txt,54.55719637,0.384645023,0.016723697,Discard,0,582.075,,,
input_1_F2_Trial14_27C_20240130_102029.txt,53.56587809,0.363331492,0.015963869,Discard,0,582.075,,,
input_1_F2_Trial14_27C_20240130_103029.txt,53.65558912,0.425108183,0.068961654,Discard,0,43.275,,,
input_2_F2_Trial14_27C_20240130_075027.txt,58.53658537,0.134370962,0.024952061,Good,514,544,,,
input_2_F2_Trial14_27C_20240130_080027.txt,60.13186813,0.173545017,0.022787577,Good,210,268,,,
input_2_F2_Trial14_27C_20240130_081027.txt,65.60846561,0.115725472,0.014580039,Good,210,268,,,
input_2_F2_Trial14_27C_20240130_082027.txt,66.54929577,0.054416445,0.006802056,Good,298,356,,,
input_2_F2_Trial14_27C_20240130_083028.txt,69.33333333,0.080488293,0.009907424,Good,298,356,,,
input_2_F2_Trial14_27C_20240130_084028.txt,71.23526844,0.054679758,0.006582669,Good,68,126,,,
input_2_F2_Trial14_27C_20240130_085028.txt,36.46990064,0.642729307,0.123693313,Good,174,218,,,
input_2_F2_Trial14_27C_20240130_090028.txt,36.7071525,0.600158272,0.101445263,Good,262,320,,,
input_2_F2_Trial14_27C_20240130_091028.txt,27.60603882,0.797833982,0.193503163,Good,422,460,,,
input_2_F2_Trial14_27C_20240130_092028.txt,29.40275651,0.559603654,0.135723822,Good,256,292,,,
input_2_F2_Trial14_27C_20240130_093028.txt,7.088009451,11.51735027,2.879337566,Good,398,546,,,
input_2_F2_Trial14_27C_20240130_094028.txt,25.58139535,0.951828384,0.274769187,Good,354,384,,,
input_2_F2_Trial14_27C_20240130_095028.txt,2.177858439,42.80294966,17.47423103,Good,116,384,,,
input_2_F2_Trial14_27C_20240130_100028.txt,27.89076119,0.747824696,0.163188727,Flatline,476,522,,,
input_2_F2_Trial14_27C_20240130_101029.txt,38.0058651,0.506861748,0.095787867,Discard,476,522,,,
input_2_F2_Trial14_27C_20240130_102029.txt,39.8897692,0.476672361,0.024230618,Discard,0,582.075,,,
input_2_F2_Trial14_27C_20240130_103029.txt,42.36153378,0.554980528,0.101325118,Discard,0,43.275,,,
input_3_F2_Trial14_27C_20240130_075027.txt,40.40762074,0.459896414,0.073642364,Good,420,478,,,
input_3_F2_Trial14_27C_20240130_080027.txt,59.75609756,0.231522752,0.032742262,Good,284,334,,,
input_3_F2_Trial14_27C_20240130_081027.txt,64.79877738,0.16734366,0.022772588,Good,284,334,,,
input_3_F2_Trial14_27C_20240130_082027.txt,65.65349544,0.166729548,0.022481808,Good,284,334,,,
input_3_F2_Trial14_27C_20240130_083028.txt,71.09295199,0.072594516,0.009451001,Good,420,470,,,
input_3_F2_Trial14_27C_20240130_084028.txt,74.61139896,0.107668538,0.013785544,Good,150,200,,,
input_3_F2_Trial14_27C_20240130_085028.txt,58.26446281,0.184791179,0.026672309,Good,168,218,,,
input_3_F2_Trial14_27C_20240130_090028.txt,64.06570842,0.103547557,0.014223351,Good,168,218,,,
input_3_F2_Trial14_27C_20240130_091028.txt,74.57972491,0.14559563,0.018490663,Good,168,218,,,
input_3_F2_Trial14_27C_20240130_092028.txt,61.72839506,0.240516027,0.03367898,Good,168,218,,,
input_3_F2_Trial14_27C_20240130_093028.txt,73.8840431,0.141008149,0.018054243,Good,448,498,,,
input_3_F2_Trial14_27C_20240130_094028.txt,49.2,0.43662456,0.067372632,Good,432,484,,,
input_3_F2_Trial14_27C_20240130_095028.txt,15.93360996,2.657314983,0.64449355,Good,286,350,,,
input_3_F2_Trial14_27C_20240130_100028.txt,57.26681128,0.33653587,0.057715426,Flatline,536,572,,,
input_3_F2_Trial14_27C_20240130_101029.txt,60.16022052,0.331911151,0.013746355,Discard,0,582.075,,,
input_3_F2_Trial14_27C_20240130_102029.txt,62.16065052,0.300698134,0.012245375,Discard,0,582.075,,,
input_3_F2_Trial14_27C_20240130_103029.txt,62.55924171,0.27136021,0.040451992,Discard,0,43.275,,,
input_4_F2_Trial14_27C_20240130_075027.txt,64.61538462,0.301852584,0.046032088,Good,362,402,,,
input_4_F2_Trial14_27C_20240130_080027.txt,82.06278027,0.111584771,0.01417128,Good,76,122,,,
input_4_F2_Trial14_27C_20240130_081027.txt,82.28571429,0.108021443,0.014565608,Good,276,316,,,
input_4_F2_Trial14_27C_20240130_082027.txt,90.56603774,0.120361706,0.014489847,Good,478,524,,,
input_4_F2_Trial14_27C_20240130_083028.txt,96.04086845,0.04482563,0.004599013,Good,436,496,,,
